span_id,doc_id,case_id,start,end,text,label,entity_id
NER0234,FIR_FIR0049,CASE049,172,185,KA-61-DH-0223,VEHICLE,VEH0223
NER0235,FIR_FIR0049,CASE049,204,226,Commercial Block B Inn,LOCATION,LOC0115
NER0236,WITNESS_CASE049_1,CASE049,77,89,Neha Rathore,PERSON,P0837
NER0237,WITNESS_CASE049_1,CASE049,95,117,Commercial Block B Inn,LOCATION,LOC0115
NER0238,FIR_FIR0050,CASE050,84,95,Yash Chopra,PERSON,P0156
NER0239,FIR_FIR0050,CASE050,171,184,AG-57-UO-0163,VEHICLE,VEH0163
NER0240,FIR_FIR0050,CASE050,203,234,Old City Market Railway Station,LOCATION,LOC0290
NER0241,WITNESS_CASE050_1,CASE050,97,108,Yash Chopra,PERSON,P0156
NER0242,FIR_FIR0051,CASE051,84,94,Ritu Mehta,PERSON,P0201
NER0243,FIR_FIR0051,CASE051,170,183,LU-95-EB-0187,VEHICLE,VEH0187
NER0244,FIR_FIR0051,CASE051,202,229,Sector 18 Family Restaurant,LOCATION,LOC0118
NER0245,WITNESS_CASE051_1,CASE051,48,58,Ritu Mehta,PERSON,P0201
NER0246,WITNESS_CASE051_1,CASE051,74,101,Sector 18 Family Restaurant,LOCATION,LOC0118
NER0247,FIR_FIR0052,CASE052,67,96,Grover Group Finance Services,ORG,ORG0013
NER0248,FIR_FIR0052,CASE052,118,128,2026-03-17,DATE,
NER0249,FIR_FIR0052,CASE052,133,143,2026-03-20,DATE,
NER0250,FIR_FIR0052,CASE052,214,225,Neha Bhatia,PERSON,P0716
NER0251,FIR_FIR0052,CASE052,251,275,Sector 53 Public Parking,LOCATION,LOC0098
NER0252,WITNESS_CASE052_1,CASE052,97,108,Neha Bhatia,PERSON,P0716
NER0253,FIR_FIR0054,CASE053,37,47,2026-05-04,DATE,
NER0254,FIR_FIR0054,CASE053,221,233,Aditya Verma,PERSON,P0494
NER0255,WITNESS_CASE053_1,CASE053,77,89,Aditya Verma,PERSON,P0494
NER0256,WITNESS_CASE053_1,CASE053,95,129,Railway Colony Logistics Warehouse,LOCATION,LOC0073
NER0257,FIR_FIR0055,CASE054,37,47,2026-04-17,DATE,
NER0258,FIR_FIR0055,CASE054,221,232,Yash Bhatia,PERSON,P0366
NER0259,WITNESS_CASE054_1,CASE054,77,88,Yash Bhatia,PERSON,P0366
NER0260,WITNESS_CASE054_1,CASE054,94,119,Sector 30 Railway Station,LOCATION,LOC0230
NER0261,FIR_FIR0056,CASE055,67,98,Malhotra Group Finance Services,ORG,ORG0141
NER0262,FIR_FIR0056,CASE055,120,130,2026-02-27,DATE,
NER0263,FIR_FIR0056,CASE055,135,145,2026-03-02,DATE,
NER0264,FIR_FIR0056,CASE055,216,228,Kajal Sharma,PERSON,P0101
NER0265,FIR_FIR0056,CASE055,254,283,Railway Colony Warehouse Zone,LOCATION,LOC0044
NER0266,WITNESS_CASE055_1,CASE055,97,109,Kajal Sharma,PERSON,P0101
NER0267,FIR_FIR0057,CASE056,67,100,Joshi & Sons Technologies Pvt Ltd,ORG,ORG0077
NER0268,FIR_FIR0057,CASE056,122,132,2025-06-12,DATE,
NER0269,FIR_FIR0057,CASE056,137,147,2025-06-15,DATE,
NER0270,FIR_FIR0057,CASE056,218,233,Simran Aggarwal,PERSON,P0725
NER0271,FIR_FIR0057,CASE056,259,278,Old City Market Inn,LOCATION,LOC0058
NER0272,WITNESS_CASE056_1,CASE056,48,63,Simran Aggarwal,PERSON,P0725
NER0273,WITNESS_CASE056_1,CASE056,79,98,Old City Market Inn,LOCATION,LOC0058
NER0274,FIR_FIR0058,CASE057,67,96,Choudhary Group Retail Stores,ORG,ORG0039
NER0275,FIR_FIR0058,CASE057,118,128,2026-03-28,DATE,
NER0276,FIR_FIR0058,CASE057,133,143,2026-03-31,DATE,
NER0277,FIR_FIR0058,CASE057,214,223,Ravi Nair,PERSON,P0285
NER0278,FIR_FIR0058,CASE057,249,276,Sector 30 Family Restaurant,LOCATION,LOC0102
NER0279,WITNESS_CASE057_1,CASE057,97,106,Ravi Nair,PERSON,P0285
NER0280,FIR_FIR0059,CASE058,84,97,Tarun Rathore,PERSON,P0380
NER0281,FIR_FIR0059,CASE058,173,186,BH-37-EM-0246,VEHICLE,VEH0246
NER0282,FIR_FIR0059,CASE058,205,234,Hotel Transport Nagar Regency,LOCATION,LOC0037
NER0283,WITNESS_CASE058_1,CASE058,77,90,Tarun Rathore,PERSON,P0380
NER0284,WITNESS_CASE058_1,CASE058,96,125,Hotel Transport Nagar Regency,LOCATION,LOC0037
NER0285,FIR_FIR0060,CASE059,84,100,Siddharth Kapoor,PERSON,P0642
NER0286,FIR_FIR0060,CASE059,176,189,GH-99-DO-0019,VEHICLE,VEH0019
NER0287,FIR_FIR0060,CASE059,208,250,Phase 12 Industrial Estate Corporate Plaza,LOCATION,LOC0139
NER0288,WITNESS_CASE059_1,CASE059,97,113,Siddharth Kapoor,PERSON,P0642
NER0289,FIR_FIR0061,CASE060,37,47,2025-07-25,DATE,
NER0290,FIR_FIR0061,CASE060,221,232,Kajal Rawat,PERSON,P0884
NER0291,WITNESS_CASE060_1,CASE060,97,108,Kajal Rawat,PERSON,P0884
NER0292,FIR_FIR0062,CASE061,67,90,Mehta Manufacturing Ltd,ORG,ORG0088
NER0293,FIR_FIR0062,CASE061,112,122,2026-05-30,DATE,
NER0294,FIR_FIR0062,CASE061,127,137,2026-06-02,DATE,
NER0295,FIR_FIR0062,CASE061,208,221,Aditya Chawla,PERSON,P0432
NER0296,FIR_FIR0062,CASE061,247,284,Model Town Block D Commercial Complex,LOCATION,LOC0083
NER0297,WITNESS_CASE061_1,CASE061,48,57,Aditya C.,PERSON,P0432
NER0298,WITNESS_CASE061_1,CASE061,73,110,Model Town Block D Commercial Complex,LOCATION,LOC0083
NER0299,FIR_FIR0063,CASE062,67,90,Sethi Logistics Pvt Ltd,ORG,ORG0045
NER0300,FIR_FIR0063,CASE062,112,122,2025-12-25,DATE,
NER0301,FIR_FIR0063,CASE062,127,137,2025-12-28,DATE,
NER0302,FIR_FIR0063,CASE062,208,220,Vivek Bansal,PERSON,P0794
NER0303,FIR_FIR0063,CASE062,246,277,Old City Market Housing Complex,LOCATION,LOC0208
NER0304,WITNESS_CASE062_1,CASE062,76,107,Old City Market Housing Complex,LOCATION,LOC0208
NER0305,FIR_FIR0064,CASE063,84,98,Nidhi Malhotra,PERSON,P0049
NER0306,FIR_FIR0064,CASE063,174,187,BE-45-WN-0045,VEHICLE,VEH0045
NER0307,FIR_FIR0064,CASE063,206,246,Phase 1 Industrial Estate Public Parking,LOCATION,LOC0146
NER0308,WITNESS_CASE063_1,CASE063,97,111,Nidhi Malhotra,PERSON,P0049
NER0309,FIR_FIR0065,CASE064,67,101,Verma & Sons Constructions Pvt Ltd,ORG,ORG0041
NER0310,FIR_FIR0065,CASE064,123,133,2025-06-05,DATE,
