account_id,person_id,bank_name,branch_city,account_type,opening_date
ACC0031,P0707,Bharat Urban Bank,Kolkata,Current,2021-11-18
ACC0032,P0217,Bharat Urban Bank,Hyderabad,Savings,2021-01-29
ACC0033,P0772,Suvidha Nagrik Bank,Agra,Current,2015-09-17
ACC0034,P0594,Himgiri Commercial Bank,Dehradun,Savings,2024-01-11
ACC0035,P0680,Vindhya Rural Bank,Kolkata,Current,2024-11-11
ACC0036,P0045,Bharat Urban Bank,Ranchi,Savings,2020-11-25
ACC0037,P0663,National Cooperative Bank,Haridwar,Savings,2020-10-20
ACC0038,P0527,Suvidha Nagrik Bank,Lucknow,Savings,2024-09-16
ACC0039,P0369,Suvidha Nagrik Bank,Hyderabad,Current,2020-08-12
ACC0040,P0275,National Cooperative Bank,Bhopal,Savings,2021-02-16
ACC0041,P0181,Suvidha Nagrik Bank,Ahmedabad,Current,2015-10-07
ACC0042,P0963,Saraswati Finance Bank,Dehradun,Savings,2017-07-18
ACC0043,P0315,Suvidha Nagrik Bank,Bhubaneswar,Savings,2024-02-01
ACC0044,P0269,National Cooperative Bank,Faridabad,Savings,2016-11-10
ACC0045,P0537,Saraswati Finance Bank,Chandigarh,Current,2019-09-07
ACC0046,P0081,Bharat Urban Bank,Ghaziabad,Current,2016-11-05
ACC0047,P0262,Suvidha Nagrik Bank,Mumbai,Savings,2020-04-24
ACC0048,P0352,Saraswati Finance Bank,Delhi,Current,2021-04-13
ACC0049,P0037,National Cooperative Bank,Pune,Savings,2016-09-02
ACC0050,P0786,National Cooperative Bank,Surat,Current,2017-05-09
ACC0051,P0337,Himgiri Commercial Bank,Chandigarh,Savings,2017-07-07
ACC0052,P0165,National Cooperative Bank,Ghaziabad,Current,2023-11-27
ACC0053,P0474,Saraswati Finance Bank,Bhopal,Current,2017-05-14
ACC0054,P0058,Suvidha Nagrik Bank,Bhopal,Savings,2024-12-12
ACC0055,P0745,Vindhya Rural Bank,Ranchi,Current,2017-11-26
ACC0056,P0561,Himgiri Commercial Bank,Ghaziabad,Current,2022-11-23
ACC0057,P0327,National Cooperative Bank,Hyderabad,Savings,2020-07-19
ACC0058,P0633,Vindhya Rural Bank,Pune,Savings,2024-10-18
ACC0059,P0776,Saraswati Finance Bank,Bhubaneswar,Current,2016-06-06
ACC0060,P0497,Suvidha Nagrik Bank,Ghaziabad,Current,2024-12-14
ACC0061,P0320,Vindhya Rural Bank,Surat,Current,2020-03-26
ACC0062,P0678,Bharat Urban Bank,Jaipur,Current,2017-08-17
ACC0063,P0652,Himgiri Commercial Bank,Bhubaneswar,Savings,2020-11-10
ACC0064,P0248,Himgiri Commercial Bank,Kanpur,Savings,2016-06-13
ACC0065,P0582,Suvidha Nagrik Bank,Hyderabad,Savings,2020-07-13
ACC0066,P0857,National Cooperative Bank,Faridabad,Current,2024-02-01
ACC0067,P0600,Himgiri Commercial Bank,Patna,Current,2024-04-02
ACC0068,P0318,National Cooperative Bank,Chennai,Savings,2019-02-10
ACC0069,P0140,Bharat Urban Bank,Ahmedabad,Savings,2016-03-25
ACC0070,P0473,Vindhya Rural Bank,Indore,Savings,2018-03-17
ACC0071,P0199,National Cooperative Bank,Amritsar,Savings,2020-12-13
ACC0072,P0947,National Cooperative Bank,Delhi,Current,2021-10-02
ACC0073,P0302,Suvidha Nagrik Bank,Delhi,Current,2015-01-16
ACC0074,P0944,Saraswati Finance Bank,Ludhiana,Current,2015-08-27
ACC0075,P0221,Suvidha Nagrik Bank,Ghaziabad,Savings,2016-06-13
ACC0076,P0751,Suvidha Nagrik Bank,Faridabad,Current,2021-01-19
ACC0077,P0074,National Cooperative Bank,Ghaziabad,Savings,2021-02-03
ACC0078,P0854,Suvidha Nagrik Bank,Patna,Current,2020-02-05
ACC0079,P0267,Suvidha Nagrik Bank,Bengaluru,Current,2023-09-03
ACC0080,P0077,Suvidha Nagrik Bank,Bhubaneswar,Current,2022-03-05
ACC0081,P0021,Vindhya Rural Bank,Kanpur,Current,2019-10-22
ACC0082,P0019,Bharat Urban Bank,Kanpur,Current,2019-11-10
ACC0083,P0938,National Cooperative Bank,Surat,Savings,2018-09-26
ACC0084,P0739,Himgiri Commercial Bank,Hyderabad,Savings,2024-07-30
ACC0085,P0512,Saraswati Finance Bank,Ludhiana,Savings,2024-11-23
ACC0086,P0598,Saraswati Finance Bank,Bhopal,Savings,2017-01-31
ACC0087,P0186,Vindhya Rural Bank,Bhopal,Savings,2022-03-08
ACC0088,P0624,Bharat Urban Bank,Kanpur,Savings,2021-11-01
ACC0089,P0816,National Cooperative Bank,Surat,Savings,2024-09-04
ACC0090,P0119,Saraswati Finance Bank,Haridwar,Current,2020-12-31
ACC0091,P0411,Himgiri Commercial Bank,Amritsar,Savings,2016-05-10
ACC0092,P0061,Vindhya Rural Bank,Jaipur,Savings,2015-11-02
ACC0093,P0379,National Cooperative Bank,Chandigarh,Current,2018-02-18
ACC0094,P0488,Vindhya Rural Bank,Ludhiana,Savings,2023-05-29
ACC0095,P0614,Bharat Urban Bank,Surat,Current,2016-09-14
ACC0096,P0511,Saraswati Finance Bank,Hyderabad,Savings,2021-01-12
ACC0097,P0416,Vindhya Rural Bank,Kanpur,Current,2017-09-14
ACC0098,P0124,Bharat Urban Bank,Patna,Current,2021-02-19
ACC0099,P0239,Himgiri Commercial Bank,Gurugram,Current,2020-06-13
ACC0100,P0948,Saraswati Finance Bank,Amritsar,Current,2021-01-13
ACC0101,P0847,Bharat Urban Bank,Kanpur,Current,2017-03-13
ACC0102,P0744,National Cooperative Bank,Amritsar,Current,2017-12-10
ACC0103,P0841,National Cooperative Bank,Bhopal,Savings,2022-08-13
ACC0104,P0723,Bharat Urban Bank,Kanpur,Savings,2022-11-17
ACC0105,P0040,Bharat Urban Bank,Dehradun,Savings,2021-04-14
ACC0106,P0567,Himgiri Commercial Bank,Hyderabad,Savings,2018-08-15
ACC0107,P0647,National Cooperative Bank,Ludhiana,Current,2021-06-30
ACC0108,P0749,Himgiri Commercial Bank,Surat,Current,2024-09-03
ACC0109,P0215,Himgiri Commercial Bank,Jaipur,Current,2019-03-12
ACC0110,P0270,Vindhya Rural Bank,Bhopal,Current,2016-10-04
ACC0111,P0865,Himgiri Commercial Bank,Ahmedabad,Savings,2015-01-06
ACC0112,P0541,Himgiri Commercial Bank,Chandigarh,Current,2018-07-08
ACC0113,P0282,Vindhya Rural Bank,Ghaziabad,Savings,2021-12-18
ACC0114,P0844,National Cooperative Bank,Kanpur,Current,2018-06-11
ACC0115,P0869,Saraswati Finance Bank,Haridwar,Current,2020-01-13
ACC0116,P0065,National Cooperative Bank,Chandigarh,Current,2017-09-17
ACC0117,P0679,Bharat Urban Bank,Bhopal,Current,2020-10-06
ACC0118,P0784,Bharat Urban Bank,Kanpur,Current,2017-10-25
ACC0119,P0102,Vindhya Rural Bank,Bengaluru,Savings,2024-06-07
ACC0120,P0347,Suvidha Nagrik Bank,Ahmedabad,Savings,2018-12-23
ACC0121,P0584,Vindhya Rural Bank,Pune,Savings,2017-06-19
ACC0122,P0384,Suvidha Nagrik Bank,Pune,Savings,2015-01-30
ACC0123,P0904,Vindhya Rural Bank,Kanpur,Current,2018-12-22
ACC0124,P0898,Saraswati Finance Bank,Bengaluru,Savings,2022-11-24
ACC0125,P0619,Vindhya Rural Bank,Indore,Current,2015-12-17
ACC0126,P0085,Suvidha Nagrik Bank,Ahmedabad,Savings,2018-08-15
ACC0127,P0231,Himgiri Commercial Bank,Dehradun,Current,2018-10-23
ACC0128,P0997,Himgiri Commercial Bank,Ludhiana,Current,2019-08-29
ACC0129,P0906,National Cooperative Bank,Kanpur,Savings,2018-04-15
ACC0130,P0234,Bharat Urban Bank,Hyderabad,Savings,2017-03-01
ACC0131,P0573,Himgiri Commercial Bank,Agra,Current,2024-11-28
ACC0132,P0750,Bharat Urban Bank,Ludhiana,Savings,2018-05-18
ACC0133,P0372,Saraswati Finance Bank,Noida,Savings,2015-01-23
ACC0134,P0654,Suvidha Nagrik Bank,Patna,Savings,2019-11-16
ACC0135,P0294,Bharat Urban Bank,Chandigarh,Savings,2018-11-17
ACC0136,P0773,National Cooperative Bank,Faridabad,Savings,2015-07-09
ACC0137,P0722,Vindhya Rural Bank,Kolkata,Current,2024-04-23
ACC0138,P0365,National Cooperative Bank,Indore,Current,2024-01-20
ACC0139,P0517,Saraswati Finance Bank,Surat,Current,2021-11-23
ACC0140,P0700,Vindhya Rural Bank,Patna,Savings,2021-04-05
ACC0141,P0650,National Cooperative Bank,Patna,Savings,2017-03-04
ACC0142,P0044,Saraswati Finance Bank,Kolkata,Current,2023-12-24
ACC0143,P0130,Bharat Urban Bank,Bengaluru,Current,2021-10-10
ACC0144,P0785,Vindhya Rural Bank,Amritsar,Savings,2019-11-26
ACC0145,P0219,Vindhya Rural Bank,Agra,Current,2024-02-16
ACC0146,P0558,Vindhya Rural Bank,Faridabad,Savings,2021-06-01
ACC0147,P0331,Vindhya Rural Bank,Pune,Current,2022-12-08
ACC0148,P0068,National Cooperative Bank,Hyderabad,Savings,2015-07-26
ACC0149,P0169,Saraswati Finance Bank,Pune,Savings,2022-02-22
ACC0150,P0185,National Cooperative Bank,Noida,Savings,2020-06-30
ACC0151,P0736,Suvidha Nagrik Bank,Pune,Current,2019-09-09
ACC0152,P0220,Suvidha Nagrik Bank,Surat,Current,2023-09-12
ACC0153,P0329,Vindhya Rural Bank,Noida,Current,2017-08-14
ACC0154,P0479,Saraswati Finance Bank,Noida,Savings,2015-01-18
ACC0155,P0956,Saraswati Finance Bank,Faridabad,Savings,2024-04-04
ACC0156,P0583,Vindhya Rural Bank,Mumbai,Savings,2015-11-03
ACC0157,P0433,Himgiri Commercial Bank,Gurugram,Savings,2023-07-18
ACC0158,P0492,Saraswati Finance Bank,Patna,Current,2023-04-21
ACC0159,P0323,Bharat Urban Bank,Amritsar,Current,2020-06-20
ACC0160,P0618,Suvidha Nagrik Bank,Bhubaneswar,Current,2017-11-21
ACC0161,P0377,Bharat Urban Bank,Noida,Current,2020-08-30
ACC0162,P0353,Vindhya Rural Bank,Lucknow,Savings,2024-07-27
ACC0163,P0264,Himgiri Commercial Bank,Chandigarh,Current,2015-10-26
ACC0164,P0534,National Cooperative Bank,Dehradun,Current,2015-06-18
ACC0165,P0175,Himgiri Commercial Bank,Agra,Savings,2016-12-02
ACC0166,P0814,Suvidha Nagrik Bank,Mumbai,Current,2022-07-26
ACC0167,P0200,Himgiri Commercial Bank,Surat,Savings,2018-07-11
ACC0168,P0006,National Cooperative Bank,Lucknow,Current,2022-08-28
ACC0169,P0809,National Cooperative Bank,Lucknow,Savings,2018-09-29
ACC0170,P0546,Bharat Urban Bank,Surat,Current,2019-07-19
ACC0171,P0506,Suvidha Nagrik Bank,Ludhiana,Current,2018-05-20
ACC0172,P0015,Saraswati Finance Bank,Ahmedabad,Current,2024-12-01
ACC0173,P0959,Saraswati Finance Bank,Kanpur,Current,2024-01-22
ACC0174,P0434,Saraswati Finance Bank,Jaipur,Savings,2021-02-05
ACC0175,P0205,Suvidha Nagrik Bank,Chennai,Savings,2016-01-02
ACC0176,P0163,Saraswati Finance Bank,Patna,Savings,2021-10-30
ACC0177,P0132,Suvidha Nagrik Bank,Kanpur,Savings,2018-12-14
ACC0178,P0419,Bharat Urban Bank,Mumbai,Current,2019-01-17
ACC0179,P0701,National Cooperative Bank,Gurugram,Savings,2022-09-21
ACC0180,P0211,Saraswati Finance Bank,Bhopal,Savings,2023-08-11
ACC0181,P0314,National Cooperative Bank,Ghaziabad,Savings,2018-08-26
ACC0182,P0746,Himgiri Commercial Bank,Surat,Current,2022-12-02
ACC0183,P0155,Vindhya Rural Bank,Bhopal,Current,2024-11-27
ACC0184,P0703,Himgiri Commercial Bank,Bhubaneswar,Current,2019-08-13
ACC0185,P0462,Vindhya Rural Bank,Gurugram,Current,2020-03-18
ACC0186,P0620,Vindhya Rural Bank,Amritsar,Current,2023-01-30
ACC0187,P0817,National Cooperative Bank,Chennai,Current,2016-02-16
ACC0188,P0213,Vindhya Rural Bank,Surat,Current,2018-09-10
ACC0189,P0916,Saraswati Finance Bank,Dehradun,Current,2018-03-11
ACC0190,P0984,Vindhya Rural Bank,Bhubaneswar,Current,2020-10-26
ACC0191,P0376,Suvidha Nagrik Bank,Faridabad,Current,2024-07-01
ACC0192,P0160,Himgiri Commercial Bank,Ahmedabad,Current,2024-12-12
ACC0193,P0899,Himgiri Commercial Bank,Noida,Current,2022-02-11
ACC0194,P0399,Bharat Urban Bank,Ghaziabad,Current,2020-09-04
ACC0195,P0733,Bharat Urban Bank,Ranchi,Current,2019-11-01
ACC0196,P0288,Bharat Urban Bank,Pune,Current,2022-05-12
ACC0197,P0007,Suvidha Nagrik Bank,Bengaluru,Current,2022-02-22
ACC0198,P0952,National Cooperative Bank,Ludhiana,Current,2024-03-11
ACC0199,P0157,Himgiri Commercial Bank,Amritsar,Current,2015-07-11
ACC0200,P0043,Himgiri Commercial Bank,Bhopal,Current,2019-02-19
ACC0201,P0523,National Cooperative Bank,Haridwar,Current,2019-10-17
ACC0202,P0184,Bharat Urban Bank,Gurugram,Current,2023-04-17
ACC0203,P0035,Saraswati Finance Bank,Bhopal,Current,2019-09-29
ACC0204,P0342,Bharat Urban Bank,Indore,Savings,2024-10-07
ACC0205,P0128,National Cooperative Bank,Kolkata,Current,2016-03-28
ACC0206,P0418,Suvidha Nagrik Bank,Ludhiana,Current,2020-08-26
ACC0207,P0115,Vindhya Rural Bank,Kolkata,Current,2024-01-22
ACC0208,P0969,National Cooperative Bank,Ghaziabad,Current,2023-08-19
ACC0209,P0032,Saraswati Finance Bank,Chennai,Current,2018-01-25
ACC0210,P0133,Bharat Urban Bank,Bengaluru,Current,2016-12-16
ACC0211,P0498,Saraswati Finance Bank,Noida,Savings,2019-04-07
ACC0212,P0452,Vindhya Rural Bank,Agra,Savings,2017-03-16
ACC0213,P0514,Himgiri Commercial Bank,Hyderabad,Current,2022-02-15
ACC0214,P0436,Bharat Urban Bank,Faridabad,Savings,2015-11-27
ACC0215,P0214,Vindhya Rural Bank,Kanpur,Savings,2016-06-25
ACC0216,P0819,Saraswati Finance Bank,Kanpur,Current,2017-11-14
ACC0217,P0013,Saraswati Finance Bank,Jaipur,Savings,2015-08-30
ACC0218,P0770,National Cooperative Bank,Bengaluru,Savings,2023-04-23
ACC0219,P0281,Vindhya Rural Bank,Faridabad,Savings,2022-10-30
ACC0220,P0592,Vindhya Rural Bank,Chennai,Savings,2021-05-30
ACC0221,P0209,Saraswati Finance Bank,Hyderabad,Savings,2015-11-23
ACC0222,P0900,Himgiri Commercial Bank,Ludhiana,Current,2021-06-17
ACC0223,P0873,Saraswati Finance Bank,Agra,Current,2017-08-15
ACC0224,P0779,Saraswati Finance Bank,Noida,Savings,2020-03-14
ACC0225,P0301,Vindhya Rural Bank,Hyderabad,Current,2016-09-04
ACC0226,P0928,Bharat Urban Bank,Indore,Savings,2023-12-13
ACC0227,P0715,Himgiri Commercial Bank,Chandigarh,Current,2017-08-22
ACC0228,P0632,Saraswati Finance Bank,Surat,Savings,2015-03-23
ACC0229,P0923,Himgiri Commercial Bank,Chennai,Savings,2017-02-20
ACC0230,P0309,National Cooperative Bank,Mumbai,Current,2017-04-20
ACC0231,P0896,Suvidha Nagrik Bank,Gurugram,Current,2016-02-25
ACC0232,P0922,Vindhya Rural Bank,Bengaluru,Current,2022-10-04
ACC0233,P0135,Himgiri Commercial Bank,Patna,Savings,2023-01-11
ACC0234,P0549,Suvidha Nagrik Bank,Hyderabad,Current,2016-08-19
ACC0235,P0669,Suvidha Nagrik Bank,Noida,Savings,2020-01-27
ACC0236,P0625,Saraswati Finance Bank,Noida,Current,2017-03-22
ACC0237,P0823,Bharat Urban Bank,Chennai,Current,2021-06-26
ACC0238,P0439,Vindhya Rural Bank,Kanpur,Current,2017-12-14
ACC0239,P0336,Saraswati Finance Bank,Noida,Current,2022-08-13
ACC0240,P0093,Himgiri Commercial Bank,Bhubaneswar,Current,2017-07-26
ACC0241,P0991,National Cooperative Bank,Chandigarh,Savings,2022-07-06
ACC0242,P0911,National Cooperative Bank,Faridabad,Current,2015-12-19
ACC0243,P0092,Himgiri Commercial Bank,Patna,Savings,2018-05-30
ACC0244,P0542,Suvidha Nagrik Bank,Ahmedabad,Savings,2022-11-10
ACC0245,P0313,National Cooperative Bank,Chandigarh,Current,2019-06-10
ACC0246,P0237,Vindhya Rural Bank,Amritsar,Current,2021-06-13
ACC0247,P0371,Bharat Urban Bank,Faridabad,Current,2021-03-11
ACC0248,P0821,Suvidha Nagrik Bank,Mumbai,Savings,2024-11-13
ACC0249,P0800,Saraswati Finance Bank,Chandigarh,Savings,2024-11-27
ACC0250,P0752,Suvidha Nagrik Bank,Bengaluru,Current,2024-08-15
ACC0251,P0166,Bharat Urban Bank,Lucknow,Savings,2022-11-25
ACC0252,P0992,Vindhya Rural Bank,Amritsar,Current,2024-05-21
ACC0253,P0712,Saraswati Finance Bank,Bhubaneswar,Current,2016-07-06
ACC0254,P0039,Suvidha Nagrik Bank,Faridabad,Savings,2024-10-13
ACC0255,P0536,National Cooperative Bank,Gurugram,Savings,2016-06-09
ACC0256,P0467,Bharat Urban Bank,Pune,Savings,2024-12-15
ACC0257,P0575,Suvidha Nagrik Bank,Bengaluru,Current,2020-07-24
ACC0258,P0612,Vindhya Rural Bank,Surat,Savings,2019-10-30
ACC0259,P0878,Vindhya Rural Bank,Lucknow,Savings,2024-07-09
ACC0260,P0451,Himgiri Commercial Bank,Agra,Current,2019-08-24
ACC0261,P0344,Vindhya Rural Bank,Surat,Savings,2023-11-16
ACC0262,P0393,Himgiri Commercial Bank,Agra,Current,2019-12-31
ACC0263,P0026,Bharat Urban Bank,Noida,Current,2016-06-16
ACC0264,P0082,Suvidha Nagrik Bank,Amritsar,Current,2016-04-10
ACC0265,P0057,National Cooperative Bank,Pune,Savings,2017-10-21
ACC0266,P0356,Vindhya Rural Bank,Ludhiana,Savings,2019-10-15
ACC0267,P0243,Vindhya Rural Bank,Amritsar,Savings,2015-08-22
ACC0268,P0083,Suvidha Nagrik Bank,Agra,Current,2016-11-03
ACC0269,P0382,Bharat Urban Bank,Jaipur,Savings,2015-06-23
ACC0270,P0095,Vindhya Rural Bank,Pune,Savings,2019-02-20
ACC0271,P0048,Himgiri Commercial Bank,Lucknow,Savings,2024-11-05
ACC0272,P0100,National Cooperative Bank,Agra,Current,2019-09-16
ACC0273,P0667,National Cooperative Bank,Haridwar,Current,2016-04-17
ACC0274,P0975,Saraswati Finance Bank,Amritsar,Savings,2016-07-25
ACC0275,P0164,Bharat Urban Bank,Ludhiana,Savings,2015-07-23
ACC0276,P0324,Vindhya Rural Bank,Lucknow,Current,2022-03-12
ACC0277,P0227,Suvidha Nagrik Bank,Gurugram,Savings,2015-12-04
ACC0278,P0872,Bharat Urban Bank,Chennai,Current,2015-05-01
ACC0279,P0988,Suvidha Nagrik Bank,Chandigarh,Savings,2023-03-13
ACC0280,P0855,Suvidha Nagrik Bank,Amritsar,Savings,2023-06-22
ACC0281,P0223,Saraswati Finance Bank,Gurugram,Savings,2015-04-23
ACC0282,P0121,Bharat Urban Bank,Gurugram,Savings,2018-08-05
ACC0283,P0914,Himgiri Commercial Bank,Lucknow,Current,2018-01-10
ACC0284,P0861,Saraswati Finance Bank,Ghaziabad,Current,2017-03-26
ACC0285,P0174,Saraswati Finance Bank,Kolkata,Current,2018-10-16
ACC0286,P0187,Suvidha Nagrik Bank,Ghaziabad,Current,2024-07-08
ACC0287,P0881,Saraswati Finance Bank,Ahmedabad,Current,2018-10-30
ACC0288,P0036,National Cooperative Bank,Surat,Savings,2018-02-19
ACC0289,P0839,National Cooperative Bank,Hyderabad,Current,2016-06-26
ACC0290,P0162,Himgiri Commercial Bank,Faridabad,Current,2018-05-30
ACC0291,P0303,Vindhya Rural Bank,Jaipur,Savings,2016-05-07
ACC0292,P0500,Bharat Urban Bank,Delhi,Current,2018-06-14
ACC0293,P0901,Vindhya Rural Bank,Kanpur,Savings,2024-02-24
ACC0294,P0708,Vindhya Rural Bank,Ranchi,Savings,2022-09-22
ACC0295,P0374,Saraswati Finance Bank,Ludhiana,Savings,2023-11-08
ACC0296,P0706,Saraswati Finance Bank,Haridwar,Savings,2015-03-08
ACC0297,P0909,Suvidha Nagrik Bank,Agra,Savings,2017-07-04
ACC0298,P0544,Saraswati Finance Bank,Agra,Current,2024-09-19
ACC0299,P0421,Suvidha Nagrik Bank,Ghaziabad,Current,2024-02-26
ACC0300,P0721,National Cooperative Bank,Ghaziabad,Savings,2018-05-19
ACC0301,P0689,National Cooperative Bank,Bengaluru,Current,2016-12-14
ACC0302,P0929,Saraswati Finance Bank,Gurugram,Current,2018-08-28
ACC0303,P0295,Vindhya Rural Bank,Agra,Current,2022-10-03
ACC0304,P0681,Himgiri Commercial Bank,Patna,Savings,2018-05-23
ACC0305,P0123,Bharat Urban Bank,Mumbai,Current,2020-04-25
ACC0306,P0629,Suvidha Nagrik Bank,Kanpur,Current,2016-04-25
ACC0307,P0868,Himgiri Commercial Bank,Delhi,Savings,2019-10-25
ACC0308,P0656,National Cooperative Bank,Gurugram,Current,2015-12-15
ACC0309,P0935,Bharat Urban Bank,Ghaziabad,Savings,2016-12-02
ACC0310,P0084,Suvidha Nagrik Bank,Delhi,Current,2020-07-31
ACC0311,P0228,Suvidha Nagrik Bank,Haridwar,Savings,2018-12-29
ACC0312,P0758,National Cooperative Bank,Patna,Savings,2019-08-08
ACC0313,P0370,Suvidha Nagrik Bank,Hyderabad,Savings,2023-09-13
ACC0314,P0951,Saraswati Finance Bank,Ghaziabad,Current,2019-03-22
ACC0315,P0286,Bharat Urban Bank,Ranchi,Current,2021-02-13
ACC0316,P0106,Vindhya Rural Bank,Kanpur,Savings,2018-09-14
ACC0317,P0023,Bharat Urban Bank,Patna,Savings,2017-12-31
ACC0318,P0284,Bharat Urban Bank,Bengaluru,Savings,2018-01-09
ACC0319,P0977,Saraswati Finance Bank,Kanpur,Current,2016-10-07
ACC0320,P0556,Saraswati Finance Bank,Bhopal,Current,2015-11-12
ACC0321,P0781,Suvidha Nagrik Bank,Hyderabad,Savings,2015-01-31
ACC0322,P0375,National Cooperative Bank,Agra,Savings,2022-11-07
ACC0323,P0692,Bharat Urban Bank,Delhi,Current,2022-07-04
ACC0324,P0867,Himgiri Commercial Bank,Faridabad,Current,2024-06-12
ACC0325,P0762,Vindhya Rural Bank,Hyderabad,Current,2021-05-30
ACC0326,P0547,Saraswati Finance Bank,Haridwar,Savings,2024-03-16
ACC0327,P0349,Bharat Urban Bank,Bhubaneswar,Savings,2024-10-10
ACC0328,P0229,Bharat Urban Bank,Bengaluru,Savings,2023-02-16
ACC0329,P0018,Saraswati Finance Bank,Ghaziabad,Savings,2021-10-07
ACC0330,P0626,Saraswati Finance Bank,Ludhiana,Savings,2020-10-30
ACC0331,P0230,Saraswati Finance Bank,Kanpur,Current,2015-03-08
ACC0332,P0201,Vindhya Rural Bank,Ahmedabad,Savings,2015-03-17
ACC0333,P0730,Himgiri Commercial Bank,Pune,Savings,2018-07-20
ACC0334,P0505,Bharat Urban Bank,Hyderabad,Savings,2021-07-20
ACC0335,P0359,Suvidha Nagrik Bank,Jaipur,Savings,2023-09-03
ACC0336,P0610,National Cooperative Bank,Kanpur,Savings,2021-12-29
ACC0337,P0648,Bharat Urban Bank,Haridwar,Savings,2015-04-26
ACC0338,P0238,Himgiri Commercial Bank,Agra,Savings,2023-09-24
ACC0339,P0853,Vindhya Rural Bank,Kolkata,Current,2017-07-27
ACC0340,P0484,National Cooperative Bank,Gurugram,Current,2019-11-02
ACC0341,P0892,Suvidha Nagrik Bank,Lucknow,Current,2018-03-02
ACC0342,P0525,Saraswati Finance Bank,Patna,Savings,2016-04-08
ACC0343,P0983,Saraswati Finance Bank,Surat,Current,2023-07-01
ACC0344,P0355,Suvidha Nagrik Bank,Jaipur,Savings,2022-09-03
ACC0345,P0392,Himgiri Commercial Bank,Gurugram,Savings,2015-02-06
ACC0346,P0396,National Cooperative Bank,Ghaziabad,Current,2021-06-16
ACC0347,P0754,Suvidha Nagrik Bank,Jaipur,Savings,2020-07-26
ACC0348,P0942,Saraswati Finance Bank,Kolkata,Savings,2023-05-15
ACC0349,P0224,Suvidha Nagrik Bank,Amritsar,Savings,2022-01-31
ACC0350,P0330,Bharat Urban Bank,Lucknow,Savings,2017-06-07
ACC0351,P0936,National Cooperative Bank,Ranchi,Current,2021-02-24
ACC0352,P0308,National Cooperative Bank,Amritsar,Savings,2016-06-13
ACC0353,P0704,Saraswati Finance Bank,Delhi,Savings,2020-06-08
ACC0354,P0198,Bharat Urban Bank,Bhubaneswar,Savings,2018-07-10
ACC0355,P0274,Vindhya Rural Bank,Jaipur,Savings,2019-12-22
ACC0356,P0910,Saraswati Finance Bank,Lucknow,Current,2020-10-20
ACC0357,P0050,Saraswati Finance Bank,Delhi,Current,2017-09-23
ACC0358,P0981,Bharat Urban Bank,Amritsar,Savings,2018-01-12
ACC0359,P0179,Saraswati Finance Bank,Jaipur,Current,2022-09-23
ACC0360,P0946,Suvidha Nagrik Bank,Faridabad,Current,2023-07-14
ACC0361,P0520,Vindhya Rural Bank,Pune,Current,2019-07-10
ACC0362,P0051,National Cooperative Bank,Indore,Savings,2018-02-24
ACC0363,P0830,Suvidha Nagrik Bank,Chandigarh,Current,2015-07-05
