fir_id,case_id,fir_number,police_station_id,registration_date,incident_date,crime_type,incident_city,incident_area,complainant_id,victim_id,officer_id,summary,status
FIR0011,CASE011,FIR/2025/011/012,PS-KO-024,2025-09-29,2025-09-28,Investment Fraud,Lucknow,Transport Nagar,P0402,P0402,OFF0008,"On 2025-09-28, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Anjali Verma and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
FIR0012,CASE012,FIR/2026/012/013,PS-AG-010,2026-05-25,2026-05-24,Illegal Goods Distribution,Noida,Civil Lines,P0927,P0927,OFF0015,Preliminary inquiry into the matter revealed that Siddharth Saxena was in contact with the complainant. A vehicle matching the description of BH-27-EV-0275 was observed near Hotel Sector 41 Regency. Witnesses gave differing accounts of the timeline.,Registered
FIR0013,CASE013,FIR/2025/013/014,PS-LU-014,2025-10-09,2025-10-08,Courier-based Criminal Network,Pune,Transport Nagar,P0759,P0759,OFF0004,"On 2025-10-08, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Sanjay Bansal and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
FIR0014,CASE014,FIR/2026/014/015,PS-BE-022,2026-02-18,2026-02-17,Insurance Fraud,Hyderabad,Transport Nagar,P0842,P0842,OFF0005,Preliminary inquiry into the matter revealed that Vikram Sharma was in contact with the complainant. A vehicle matching the description of LU-31-WZ-0265 was observed near Housing Board Colony Public Ground. Witnesses gave differing accounts of the timeline.,Closed
FIR0015,CASE015,FIR/2026/015/016,PS-HY-021,2026-05-10,2026-05-09,Warehouse Theft,Mumbai,Phase 2 Industrial Estate,P0587,P0587,OFF0023,"The complainant, associated with Kapoor Group Manufacturing Ltd, stated that between 2026-05-06 and 2026-05-09 several communications were received. A person locally referred to as Nikhil Kohli was reportedly seen near Phase 3 Industrial Estate Public Parking shortly before the incident. the sequence of events remains under verification",Registered
FIR0016,CASE016,FIR/2025/016/017,PS-LU-008,2025-11-24,2025-11-23,Vehicle Theft Network,Bhubaneswar,Transport Nagar,P0547,P0547,OFF0001,"The complainant, associated with Rawat & Sons Trading Co, stated that between 2025-11-20 and 2025-11-23 several communications were received. A person locally referred to as Ramesa Bhalla was reportedly seen near Sector 33 Business Tower shortly before the incident. the sequence of events remains under verification",Under Investigation
FIR0017,CASE017,FIR/2026/017/018,PS-BH-020,2026-01-12,2026-01-11,Document Forgery,Noida,New Township Sector 51,P0953,P0953,OFF0019,"On 2026-01-11, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Preeti Kapoor and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Closed
FIR0018,CASE018,FIR/2025/018/019,PS-SU-018,2025-07-28,2025-07-27,Missing-person Investigation,Pune,Old City Market,P0918,P0918,OFF0012,"On 2025-07-27, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Amit Malhotra and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
FIR0019,CASE019,FIR/2025/019/020,PS-BH-020,2025-07-29,2025-07-28,Procurement Fraud,Ranchi,Housing Board Colony,P0723,P0723,OFF0001,"On 2025-07-28, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Mohit Kapoor and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
FIR0020,CASE020,FIR/2025/020/021,PS-DE-001,2025-12-13,2025-12-12,Document Forgery,Faridabad,Transport Nagar,P0789,P0789,OFF0015,"On 2025-12-12, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Tanya Malhotra and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Registered
FIR0021,CASE021,FIR/2026/021/022,PS-PA-025,2026-01-28,2026-01-27,Investment Fraud,Lucknow,Commercial Block B,P0763,P0763,OFF0017,"On 2026-01-27, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Harisu Rathore and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
FIR0022,CASE022,FIR/2025/022/023,PS-MU-015,2025-09-11,2025-09-10,Warehouse Theft,Jaipur,Phase 19 Industrial Estate,P0504,P0504,OFF0002,"The complainant, associated with Malhotra & Sons Consulting Services, stated that between 2025-09-07 and 2025-09-10 several communications were received. A person locally referred to as Anil Sharma was reportedly seen near Phase 3 Industrial Estate Public Parking shortly before the incident. the sequence of events remains under verification",Registered
FIR0023,CASE023,FIR/2025/023/024,PS-NO-004,2025-06-28,2025-06-27,Fake-company Network,Bhubaneswar,Sector 26,P0166,P0166,OFF0024,"The complainant, associated with Chawla & Sons Trading Co, stated that between 2025-06-24 and 2025-06-27 several communications were received. A person locally referred to as Tanya Malhotra was reportedly seen near New Township Sector 19 Multi-level Parking shortly before the incident. the sequence of events remains under verification",Under Investigation
FIR0024,CASE024,FIR/2025/024/025,PS-GH-005,2025-07-15,2025-07-14,Organized Theft,Bengaluru,Transport Nagar,P0310,P0310,OFF0016,Preliminary inquiry into the matter revealed that Kavya Iyer was in contact with the complainant. A vehicle matching the description of GU-86-LS-0176 was observed near Sector 55 Community Park. Witnesses gave differing accounts of the timeline.,Closed
FIR0025,CASE025,FIR/2026/025/026,PS-FA-003,2026-03-09,2026-03-08,Identity Fraud,Ahmedabad,Civil Lines,P0625,P0625,OFF0008,"The complainant, associated with Bansal & Sons Logistics Pvt Ltd, stated that between 2026-03-05 and 2026-03-08 several communications were received. A person locally referred to as Anjali Choudhary was reportedly seen near New Township Sector 29 Bus Terminal shortly before the incident. the sequence of events remains under verification",Under Investigation
FIR0026,CASE026,FIR/2026/026/027,PS-LU-014,2026-06-04,2026-06-03,Warehouse Theft,Gurugram,Sector 60,P0849,P0849,OFF0017,Preliminary inquiry into the matter revealed that Manja Mehta was in contact with the complainant. A vehicle matching the description of PA-12-KO-0211 was observed near Transport Nagar Inn. Witnesses gave differing accounts of the timeline.,Closed
FIR0027,CASE027,FIR/2026/027/028,PS-SU-018,2026-06-15,2026-06-14,Multi-city Fraud Network,Bhopal,Transport Nagar,P0126,P0126,OFF0025,Preliminary inquiry into the matter revealed that Aditya Bansal was in contact with the complainant. A vehicle matching the description of CH-17-NB-0054 was observed near Transport Nagar Housing Complex. Witnesses gave differing accounts of the timeline.,Under Investigation
FIR0028,CASE028,FIR/2025/028/029,PS-MU-015,2025-09-17,2025-09-16,Insurance Fraud,Indore,Civil Lines,P0250,P0250,OFF0020,"The complainant, associated with Saxena Transport Services, stated that between 2025-09-13 and 2025-09-16 several communications were received. A person locally referred to as Tarun Grover was reportedly seen near Old City Market Warehouse Zone shortly before the incident. the sequence of events remains under verification",Closed
FIR0029,CASE029,FIR/2025/029/030,PS-CH-023,2025-09-22,2025-09-21,Financial Fraud,Chandigarh,Civil Lines,P0634,P0634,OFF0004,"The complainant, associated with Nair & Sons Constructions Pvt Ltd, stated that between 2025-09-18 and 2025-09-21 several communications were received. A person locally referred to as Nidho Aggarwal was reportedly seen near Railway Colony Family Restaurant shortly before the incident. the sequence of events remains under verification",Registered
FIR0030,CASE030,FIR/2025/030/031,PS-SU-018,2025-06-19,2025-06-18,Robbery Network,Faridabad,Commercial Block D,P0409,P0409,OFF0013,"On 2025-06-18, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Neeraj Verma and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Closed
FIR0031,CASE031,FIR/2026/031/032,PS-SU-018,2026-01-23,2026-01-22,Insurance Fraud,Pune,New Township Sector 60,P0016,P0016,OFF0019,Preliminary inquiry into the matter revealed that Ravi Joshi was in contact with the complainant. A vehicle matching the description of AG-58-EA-0135 was observed near Civil Lines Multi-level Parking. Witnesses gave differing accounts of the timeline.,Closed
FIR0032,CASE032,FIR/2025/032/033,PS-BE-022,2026-01-01,2025-12-31,Document Forgery,Hyderabad,Sector 8,P0207,P0207,OFF0003,Preliminary inquiry into the matter revealed that Tarun Singh was in contact with the complainant. A vehicle matching the description of AG-65-FX-0152 was observed near Phase 29 Industrial Estate Apartments. Witnesses gave differing accounts of the timeline.,Closed
FIR0033,CASE033,FIR/2025/033/034,PS-MU-015,2025-07-03,2025-07-02,Money-laundering-style Financial Network,Kanpur,Railway Colony,P0979,P0979,OFF0010,"On 2025-07-02, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Mohit Tiwari and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Registered
FIR0034,CASE034,FIR/2026/034/035,PS-NO-004,2026-07-07,2026-07-06,Identity Fraud,Jaipur,New Township Sector 28,P0216,P0216,OFF0021,"On 2026-07-06, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Divya Verma and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
FIR0035,CASE035,FIR/2025/035/036,PS-BH-027,2025-10-26,2025-10-25,Multi-city Fraud Network,Bengaluru,Model Town Block A,P0180,P0180,OFF0021,Preliminary inquiry into the matter revealed that K. Sethi was in contact with the complainant. A vehicle matching the description of HY-34-RI-0003 was observed near Commercial Block B Trade Centre. Witnesses gave differing accounts of the timeline.,Registered
FIR0036,CASE036,FIR/2025/036/037,PS-GH-005,2025-07-31,2025-07-30,Money-laundering-style Financial Network,Ludhiana,New Township Sector 51,P0351,P0351,OFF0003,"The complainant, associated with Bhatia Group Trading Co, stated that between 2025-07-27 and 2025-07-30 several communications were received. A person locally referred to as Vidya Arora was reportedly seen near Model Town Block C Family Restaurant shortly before the incident. the sequence of events remains under verification",Closed
FIR0037,CASE037,FIR/2026/037/038,PS-NO-004,2026-06-20,2026-06-19,Document Forgery,Amritsar,Sector 35,P0545,P0545,OFF0007,"On 2026-06-19, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Bhavna Chopra and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Registered
FIR0038,CASE038,FIR/2026/038/039,PS-LU-008,2026-06-20,2026-06-19,Courier-based Criminal Network,Surat,Railway Colony,P0781,P0781,OFF0001,"The complainant, associated with Joshi Group Technologies Pvt Ltd, stated that between 2026-06-16 and 2026-06-19 several communications were received. A person locally referred to as Simran Reddy was reportedly seen near New Township Sector 48 Family Restaurant shortly before the incident. the sequence of events remains under verification",Closed
FIR0039,CASE039,FIR/2025/039/040,PS-GH-005,2025-12-25,2025-12-24,Cyber-enabled Fraud,Jaipur,Civil Lines,P0364,P0364,OFF0020,"The complainant, associated with Chawla & Sons Manufacturing Ltd, stated that between 2025-12-21 and 2025-12-24 several communications were received. A person locally referred to as Ravi Nair was reportedly seen near Civil Lines Market shortly before the incident. the sequence of events remains under verification",Registered
FIR0040,CASE040,FIR/2025/040/041,PS-RA-026,2025-12-14,2025-12-13,Multi-city Fraud Network,Agra,Phase 45 Industrial Estate,P0581,P0581,OFF0025,Preliminary inquiry into the matter revealed that Manju Verma was in contact with the complainant. A vehicle matching the description of MU-34-SZ-0162 was observed near Railway Colony Inn. Witnesses gave differing accounts of the timeline.,Closed
FIR0041,CASE041,FIR/2025/041/042,PS-GH-005,2025-06-07,2025-06-06,Robbery Network,Chennai,Sector 29,P0124,P0124,OFF0002,"The complainant, associated with Arora Retail Stores, stated that between 2025-06-03 and 2025-06-06 several communications were received. A person locally referred to as Aditya Mishra was reportedly seen near Commercial Block A Public Ground shortly before the incident. the sequence of events remains under verification",Under Investigation
FIR0042,CASE042,FIR/2025/042/043,PS-BE-022,2025-08-01,2025-07-31,Insurance Fraud,Mumbai,Model Town Block A,P0043,P0043,OFF0022,"The complainant, associated with Rathore Group Manufacturing Ltd, stated that between 2025-07-28 and 2025-07-31 several communications were received. A person locally referred to as Ashok Choudhary was reportedly seen near New Township Sector 53 Public Ground shortly before the incident. the sequence of events remains under verification",Under Investigation
FIR0043,CASE043,FIR/2026/043/044,PS-AM-013,2026-02-13,2026-02-12,Fake-company Network,Faridabad,Phase 8 Industrial Estate,P0074,P0074,OFF0009,"The complainant, associated with Gupta & Sons Constructions Pvt Ltd, stated that between 2026-02-09 and 2026-02-12 several communications were received. A person locally referred to as Aakase Sharma was reportedly seen near Housing Board Colony Corporate Plaza shortly before the incident. the sequence of events remains under verification",Registered
FIR0044,CASE044,FIR/2026/044/045,PS-BH-027,2026-01-18,2026-01-17,Vehicle Theft Network,Lucknow,Transport Nagar,P0976,P0976,OFF0002,"On 2026-01-17, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Gaurav Gupta and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Registered
FIR0045,CASE045,FIR/2025/045/046,PS-GH-005,2025-12-04,2025-12-03,Procurement Fraud,Amritsar,Old City Market,P0242,P0242,OFF0004,"On 2025-12-03, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Rajat Khanna and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Closed
FIR0046,CASE046,FIR/2025/046/047,PS-BH-020,2025-08-27,2025-08-26,Document Forgery,Lucknow,Railway Colony,P0296,P0296,OFF0010,"On 2025-08-26, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Sanjay Arora and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Closed
FIR0047,CASE047,FIR/2025/047/048,PS-SU-018,2025-07-07,2025-07-06,Identity Fraud,Surat,Housing Board Colony,P0817,,OFF0025,"On 2025-07-06, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Siddharth Saxena and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Closed
FIR0048,CASE048,FIR/2026/048/049,PS-LU-008,2026-04-01,2026-03-31,Missing-person Investigation,Ahmedabad,Old City Market,P0111,P0111,OFF0001,Preliminary inquiry into the matter revealed that Aakash Rawat was in contact with the complainant. A vehicle matching the description of BH-86-IH-0090 was observed near Hotel Model Town Block D Regency. Witnesses gave differing accounts of the timeline.,Registered
FIR0049,CASE049,FIR/2026/049/050,PS-AH-017,2026-01-20,2026-01-19,Robbery Network,Chennai,Phase 27 Industrial Estate,P0896,P0896,OFF0005,Preliminary inquiry into the matter revealed that Neha Rathore was in contact with the complainant. A vehicle matching the description of KA-61-DH-0223 was observed near Commercial Block B Inn. Witnesses gave differing accounts of the timeline.,Closed
FIR0050,CASE050,FIR/2025/050/051,PS-GU-002,2025-06-02,2025-06-01,Insurance Fraud,Dehradun,Transport Nagar,P0630,P0630,OFF0007,Preliminary inquiry into the matter revealed that Yash Chopra was in contact with the complainant. A vehicle matching the description of AG-57-UO-0163 was observed near Old City Market Railway Station. Witnesses gave differing accounts of the timeline.,Under Investigation
FIR0051,CASE051,FIR/2026/051/052,PS-AG-010,2026-02-17,2026-02-16,Courier-based Criminal Network,Lucknow,Model Town Block D,P0201,P0201,OFF0017,Preliminary inquiry into the matter revealed that Ritu Mehta was in contact with the complainant. A vehicle matching the description of LU-95-EB-0187 was observed near Sector 18 Family Restaurant. Witnesses gave differing accounts of the timeline.,Registered
FIR0052,CASE052,FIR/2026/052/053,PS-LU-008,2026-03-21,2026-03-20,Vehicle Theft Network,Indore,Old City Market,P0783,P0783,OFF0020,"The complainant, associated with Grover Group Finance Services, stated that between 2026-03-17 and 2026-03-20 several communications were received. A person locally referred to as Neha Bhatia was reportedly seen near Sector 53 Public Parking shortly before the incident. the sequence of events remains under verification",Registered
FIR0053,CASE052,FIR/2026/052/053,PS-LU-008,2026-03-21,2026-03-20,Vehicle Theft Network,Indore,Old City Market,P0783,P0783,OFF0020,"The complainant, associated with Grover Group Finance Services, stated that between 2026-03-17 and 2026-03-20 several communications were received. A person locally referred to as Neha Bhatia was reportedly seen near Sector 53 Public Parking shortly before the incident. the sequence of events remains under verification",Registered
FIR0054,CASE053,FIR/2026/053/055,PS-BE-022,2026-05-05,2026-05-04,Vehicle Theft Network,Ludhiana,Phase 43 Industrial Estate,P0808,P0808,OFF0023,"On 2026-05-04, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Aditya Verma and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Closed
FIR0055,CASE054,FIR/2026/054/056,PS-AM-013,2026-04-18,2026-04-17,Fake-company Network,Haridwar,Civil Lines,P0287,,OFF0002,"On 2026-04-17, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Yash Bhatia and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
FIR0056,CASE055,FIR/2026/055/057,PS-AG-010,2026-03-03,2026-03-02,Investment Fraud,Surat,Transport Nagar,P0402,P0402,OFF0002,"The complainant, associated with Malhotra Group Finance Services, stated that between 2026-02-27 and 2026-03-02 several communications were received. A person locally referred to as Kajal Sharma was reportedly seen near Railway Colony Warehouse Zone shortly before the incident. the sequence of events remains under verification",Closed
FIR0057,CASE056,FIR/2025/056/058,PS-PU-016,2025-06-16,2025-06-15,Investment Fraud,Amritsar,Civil Lines,P0328,P0328,OFF0009,"The complainant, associated with Joshi & Sons Technologies Pvt Ltd, stated that between 2025-06-12 and 2025-06-15 several communications were received. A person locally referred to as Simran Aggarwal was reportedly seen near Old City Market Inn shortly before the incident. the sequence of events remains under verification",Closed
FIR0058,CASE057,FIR/2026/057/059,PS-GU-002,2026-04-01,2026-03-31,Missing-person Investigation,Surat,Civil Lines,P0714,P0714,OFF0010,"The complainant, associated with Choudhary Group Retail Stores, stated that between 2026-03-28 and 2026-03-31 several communications were received. A person locally referred to as Ravi Nair was reportedly seen near Sector 30 Family Restaurant shortly before the incident. the sequence of events remains under verification",Under Investigation
FIR0059,CASE058,FIR/2025/058/060,PS-RA-026,2025-07-01,2025-06-30,Illegal Goods Distribution,Dehradun,Sector 44,P0771,P0771,OFF0014,Preliminary inquiry into the matter revealed that Tarun Rathore was in contact with the complainant. A vehicle matching the description of BH-37-EM-0246 was observed near Hotel Transport Nagar Regency. Witnesses gave differing accounts of the timeline.,Registered
FIR0060,CASE059,FIR/2025/059/061,PS-DE-001,2025-07-27,2025-07-26,Warehouse Theft,Mumbai,Civil Lines,P0157,P0157,OFF0015,Preliminary inquiry into the matter revealed that Siddharth Kapoor was in contact with the complainant. A vehicle matching the description of GH-99-DO-0019 was observed near Phase 12 Industrial Estate Corporate Plaza. Witnesses gave differing accounts of the timeline.,Under Investigation
FIR0061,CASE060,FIR/2025/060/062,PS-KO-024,2025-07-26,2025-07-25,Fake-company Network,Mumbai,Phase 41 Industrial Estate,P0696,P0696,OFF0003,"On 2025-07-25, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Kajal Rawat and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Registered
FIR0062,CASE061,FIR/2026/061/063,PS-KA-009,2026-06-03,2026-06-02,Robbery Network,Pune,Transport Nagar,P0356,P0356,OFF0018,"The complainant, associated with Mehta Manufacturing Ltd, stated that between 2026-05-30 and 2026-06-02 several communications were received. A person locally referred to as Aditya Chawla was reportedly seen near Model Town Block D Commercial Complex shortly before the incident. the sequence of events remains under verification",Under Investigation
FIR0063,CASE062,FIR/2025/062/064,PS-AG-010,2025-12-29,2025-12-28,Illegal Goods Distribution,Chennai,Railway Colony,P0108,P0108,OFF0013,"The complainant, associated with Sethi Logistics Pvt Ltd, stated that between 2025-12-25 and 2025-12-28 several communications were received. A person locally referred to as Vivek Bansal was reportedly seen near Old City Market Housing Complex shortly before the incident. the sequence of events remains under verification",Under Investigation
FIR0064,CASE063,FIR/2025/063/065,PS-BH-027,2025-11-15,2025-11-14,Organized Theft,Indore,New Township Sector 16,P0189,P0189,OFF0018,Preliminary inquiry into the matter revealed that Nidhi Malhotra was in contact with the complainant. A vehicle matching the description of BE-45-WN-0045 was observed near Phase 1 Industrial Estate Public Parking. Witnesses gave differing accounts of the timeline.,Under Investigation
FIR0065,CASE064,FIR/2025/064/066,PS-PU-016,2025-06-09,2025-06-08,Corporate Fraud,Pune,Housing Board Colony,P0488,P0488,OFF0019,"The complainant, associated with Verma & Sons Constructions Pvt Ltd, stated that between 2025-06-05 and 2025-06-08 several communications were received. A person locally referred to as Ashok Rawat was reportedly seen near Civil Lines Residency shortly before the incident. the sequence of events remains under verification",Closed
FIR0066,CASE065,FIR/2025/065/067,PS-MU-015,2025-07-11,2025-07-10,Illegal Goods Distribution,Jaipur,Sector 5,P0015,,OFF0010,"The complainant, associated with Gupta Group Trading Co, stated that between 2025-07-07 and 2025-07-10 several communications were received. A person locally referred to as Payal Tiwari was reportedly seen near Sector 55 Community Park shortly before the incident. the sequence of events remains under verification",Closed
FIR0067,CASE066,FIR/2025/066/068,PS-AG-010,2025-12-24,2025-12-23,Smuggling-style Network,Amritsar,Housing Board Colony,P0850,,OFF0025,"The complainant, associated with Bhalla Constructions Pvt Ltd, stated that between 2025-12-20 and 2025-12-23 several communications were received. A person locally referred to as Isha Rathore was reportedly seen near Commercial Block B Trade Centre shortly before the incident. the sequence of events remains under verification",Under Investigation
FIR0068,CASE067,FIR/2026/067/069,PS-CH-023,2026-01-11,2026-01-10,Illegal Goods Distribution,Lucknow,Phase 3 Industrial Estate,P0258,P0258,OFF0011,"The complainant, associated with Grover & Sons Technologies Pvt Ltd, stated that between 2026-01-07 and 2026-01-10 several communications were received. A person locally referred to as Sunita Tiwari was reportedly seen near Transport Nagar Business Tower shortly before the incident. the sequence of events remains under verification",Registered
FIR0069,CASE068,FIR/2026/068/070,PS-BH-020,2026-07-07,2026-07-06,Insurance Fraud,Surat,Phase 5 Industrial Estate,P0971,P0971,OFF0006,"The complainant, associated with Tiwari & Sons Manufacturing Ltd, stated that between 2026-07-03 and 2026-07-06 several communications were received. A person locally referred to as Ramesh Bansal was reportedly seen near Phase 27 Industrial Estate Multi-level Parking shortly before the incident. the sequence of events remains under verification",Registered
FIR0070,CASE069,FIR/2025/069/071,PS-DE-001,2025-06-02,2025-06-01,Organized Theft,Haridwar,Railway Colony,P0016,P0016,OFF0022,Preliminary inquiry into the matter revealed that Anil Sharma was in contact with the complainant. A vehicle matching the description of CH-71-YD-0293 was observed near Old City Market Public Ground. Witnesses gave differing accounts of the timeline.,Registered
FIR0071,CASE070,FIR/2025/070/072,PS-AG-010,2025-09-14,2025-09-13,Fake-company Network,Indore,Model Town Block C,P0084,,OFF0002,"On 2025-09-13, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Sanjay Rathore and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Closed
FIR0072,CASE071,FIR/2026/071/073,PS-GH-005,2026-03-30,2026-03-29,Robbery Network,Delhi,Commercial Block D,P0990,P0990,OFF0004,Preliminary inquiry into the matter revealed that Vidya Mehta was in contact with the complainant. A vehicle matching the description of SU-70-JR-0267 was observed near Commercial Block C Warehouse Zone. Witnesses gave differing accounts of the timeline.,Under Investigation
FIR0073,CASE072,FIR/2025/072/074,PS-CH-007,2025-08-26,2025-08-25,Identity Fraud,Indore,Sector 18,P0687,P0687,OFF0008,"On 2025-08-25, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Komal Saxena and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
FIR0074,CASE073,FIR/2026/073/075,PS-PA-025,2026-06-16,2026-06-15,Robbery Network,Ahmedabad,Model Town Block B,P0143,P0143,OFF0002,"On 2026-06-15, the complainant reported that an unauthorized transfer occurred from an associated account. During preliminary inquiry, references were made to an individual identified as Deepak Arora and a vehicle observed near the commercial premises. Investigators noted that the sequence of events remains under verification.",Under Investigation
