call_id,caller_number,callee_number,call_date,call_time,duration_seconds,call_type,tower_id,tower_location,tower_lat,tower_lon
CDR-0024,5345678901,5012345678,2024-07-04,08:45:00,180,voice,BLR-T-0089,Whitefield Bengaluru,12.9698,77.7500
CDR-0025,9123456780,6567890123,2024-06-05,11:30:00,420,voice,MUM-T-0142,Bandra West Mumbai,19.0596,72.8295
CDR-0026,9456789012,9123456780,2024-03-30,04:00:00,45,voice,DEL-T-0067,Mehrauli New Delhi,28.5176,77.1855
CDR-0027,9567890123,9456789012,2024-03-31,05:30:00,60,voice,DEL-T-0082,Vasant Kunj New Delhi,28.5196,77.1567
CDR-0028,8123456789,8345678901,2024-04-18,22:15:00,720,voice,PAT-T-0012,Patna Junction Patna,25.6093,85.1376
CDR-0029,8345678901,7123456789,2024-04-20,09:00:00,300,voice,KOL-T-0078,Park Street Kolkata,22.5516,88.3523
CDR-0030,6567890123,6789012345,2024-06-25,16:00:00,180,voice,AMD-T-0034,SG Highway Ahmedabad,23.0300,72.5290
CDR-0031,5012345678,9890123456,2024-07-10,13:30:00,450,voice,HYD-T-0045,Jubilee Hills Hyderabad,17.4325,78.4073
CDR-0032,9890123456,5012345678,2024-07-11,19:00:00,300,voice,BLR-T-0089,Whitefield Bengaluru,12.9698,77.7500
CDR-0033,9123456780,9234567891,2024-03-12,10:00:00,180,voice,MUM-T-0198,Andheri East Mumbai,19.1197,72.8464
CDR-0034,9123456780,9234567891,2024-03-13,14:00:00,240,voice,PUN-T-0078,Hinjewadi Pune,18.5912,73.7390
CDR-0035,9456789012,9567890123,2024-03-28,20:00:00,90,voice,DEL-T-0045,Saket New Delhi,28.5244,77.2167
CDR-0036,9456789012,9567890123,2024-03-29,22:00:00,120,voice,DEL-T-0045,Saket New Delhi,28.5244,77.2167
CDR-0037,9456789012,9567890123,2024-03-30,01:00:00,60,voice,DEL-T-0067,Mehrauli New Delhi,28.5176,77.1855
CDR-0038,8123456789,8234567890,2024-04-16,06:00:00,300,voice,LKO-T-0056,Charbagh Lucknow,26.8580,80.9215
CDR-0039,8123456789,8234567890,2024-04-17,08:00:00,240,voice,LKO-T-0034,Aminabad Lucknow,26.8467,80.9462
CDR-0040,8123456789,8234567890,2024-04-18,10:00:00,360,voice,PAT-T-0012,Patna Junction Patna,25.6093,85.1376
CDR-0041,6345678901,6456789012,2024-06-03,09:00:00,180,voice,PUN-T-0056,Koregaon Park Pune,18.5362,73.8940
CDR-0042,6345678901,6567890123,2024-06-04,11:30:00,240,voice,PUN-T-0056,Koregaon Park Pune,18.5362,73.8940
CDR-0043,6345678901,9123456780,2024-06-05,14:00:00,300,voice,MUM-T-0142,Bandra West Mumbai,19.0596,72.8295
CDR-0044,5012345678,5123456789,2024-07-05,22:00:00,480,voice,GOA-T-0011,Panaji Goa,15.4909,73.8278
CDR-0045,5123456789,5012345678,2024-07-06,10:00:00,200,voice,MUM-T-0142,Bandra West Mumbai,19.0596,72.8295
CDR-0046,5234567890,5345678901,2024-07-07,15:30:00,360,voice,BLR-T-0102,Electronic City Bengaluru,12.8456,77.6603
CDR-0047,7123456789,8345678901,2024-05-10,20:00:00,180,voice,KOL-T-0089,Howrah Kolkata,22.5958,88.2636
CDR-0048,6012345678,6123456789,2024-05-25,16:00:00,240,voice,JAI-T-0023,MI Road Jaipur,26.9124,75.7873
CDR-0049,6012345678,5012345678,2024-06-10,13:00:00,300,voice,JAI-T-0023,MI Road Jaipur,26.9124,75.7873
CDR-0050,9890123456,6789012345,2024-06-28,17:00:00,420,voice,BLR-T-0089,Whitefield Bengaluru,12.9698,77.7500
